nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_03_22,02_03_22,03_03_22,04_03_22,05_03_22,06_03_22,07_03_22,08_03_22,09_03_22,10_03_22,11_03_22,12_03_22,13_03_22,14_03_22,15_03_22,16_03_22,17_03_22,18_03_22,19_03_22,20_03_22,21_03_22,22_03_22,23_03_22,24_03_22,25_03_22,26_03_22,27_03_22,28_03_22,29_03_22,30_03_22,31_03_22,total
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,0.0,7.7,9.3,21.3,0.0,0.6,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,3.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,1.2,0.3,0.0,3.2,1.0,51.71
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,5.4,10.4,2.4,10.0,5.2,1.8,0.0,0.8,0.8,0.0,0.0,0.0,0.0,1.6,0.0,35.2,0.0,0.2,0.0,4.2,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.0,79.01
Iaçu,51280000,Iaçu,Iaçu - 51280000,-12.7622,-40.2136,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,14.2,10.8,5.2,1.4,1.0,0.0,10.8,9.0,0.0,0.0,0.0,2.4,0.0,4.0,13.8,1.0,0.0,0.0,0.0,0.0,16.6,0.0,1.2,4.0,1.6,0.0,0.0,97.0
Lençóis,A425,Lençóis,Lençóis - A425,-12.557854,-41.388808,Chapada Diamantina,RPGA do Rio Paraguaçu,0.2,0.0,0.0,1.2,12.4,12.4,2.8,10.8,1.2,0.4,0.0,3.0,0.0,0.0,0.0,1.2,2.0,3.0,6.4,1.0,36.4,0.0,0.4,0.4,1.6,0.0,0.2,0.0,4.4,0.0,30.8,132.21
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,3.8,4.6,16.6,3.6,0.4,1.2,0.0,0.6,0.0,0.0,0.0,6.6,5.8,0.0,23.6,0.0,0.4,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.8,0.4,0.6,74.2
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,19.4,11.2,409.6,5.8,1.6,1.8,2.8,3.8,0.0,0.0,0.2,0.0,0.0,1.8,12.8,0.6,0.0,0.0,0.0,0.6,0.2,0.0,2.0,0.2,0.2,0.0,0.0,474.61
Wagner,PG-PR-22,Wagner,Wagner - PG-PR-22,-12.289538,-41.161774,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.8,11.6,11.8,1.0,8.0,0.2,0.0,12.8,0.8,0.2,0.0,0.0,33.8,4.2,0.4,3.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,4.4,0.0,1.0,0.0,94.81
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,4.8,1.6,1.6,3.0,3.4,3.2,0.6,0.0,0.0,0.0,0.0,0.6,1.2,0.0,2.6,0.0,17.4,3.0,1.6,1.2,0.0,0.0,0.0,0.0,0.0,0.2,7.4,53.41
Machado Portela,PG-PR-26,Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,-13.153732,-40.768155,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.2,7.2,14.4,8.8,0.8,1.2,0.2,7.6,3.6,0.2,0.0,0.0,6.6,6.2,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,79.4
Iaçu,PG-CL-05,Iaçu,Iaçu - PG-CL-05,-12.9114,-40.03177,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.4,2.4,2.2,5.0,0.0,1.2,0.2,4.2,0.0,0.0,0.0,0.0,1.6,0.0,0.8,6.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,2.0,1.8,1.6,0.2,0.0,30.41
Marcionílio Souza,PG-CL-03,Marcionílio Souza,Marcionílio Souza - PG-CL-03,-13.00021,-40.537783,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,2.4,9.6,13.2,17.2,29.4,7.2,0.6,0.0,3.2,1.0,0.0,0.0,0.0,0.0,0.0,1.6,7.2,1.2,0.0,0.2,0.0,2.8,3.6,0.0,0.0,0.0,0.0,0.2,2.0,102.6
