codigo,nome_estacao,municipio,serie,UF,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,ano
83339,Caetité,Caetité,1961-1993,BA,156.9,108.9,90.3,68.7,13.1,12,13,6.5,11.5,79.8,172.3,189.4,922.5
83192,Cipó,Cipó,1961-1995,BA,72.8,104.8,105.3,116.2,108.5,195,154.4,85.4,49.2,21.7,109.5,112.9,1235.6
83348,Ilhéus,Ilhéus,1961-1996,BA,151.2,182.4,216.9,204.7,144.5,200.6,200.5,134.4,128.7,146.9,146.1,178.6,2035.5
83182,Irecê,Irecê,1961-1997,BA,117.2,108.3,90.5,60.3,16.7,1.9,3.7,1.3,17.7,42,106.4,116.4,682.4
83242,Lençóis,Lençóis,1961-2001,BA,146.4,164.8,164.9,149.1,73,71.8,68.6,31.8,43.9,110.5,197.9,190.1,1412.6
83184,Morro do Chapéu,Morro do Chapéu,1961-2003,BA,115.8,100.7,86.7,70.1,34.8,34.2,27,17.5,19.3,36.3,95,127.4,764.7
83223,São Francisco do Conde,São Francisco do Conde,1961-2008,BA,116.5,134.6,164.7,237,452.5,215.7,174,123,70.2,63.6,152.4,131.9,2036.1
83249,Alagoinhas,Alagoinhas,1981-2010,BA,59.8,65.4,75.6,124.6,153.7,152,109.3,93.2,66.7,48.6,61.2,63.2,1073.3
83179,Barra,Barra,1981-2011,BA,97.9,100.4,125.5,77.9,15.3,2,0.2,0.6,8.5,33.5,93.5,115.1,670.4
83236,Barreiras,Barreiras,1981-2012,BA,164.6,126.8,154.9,74.5,23.7,3.6,1,1.3,10.4,65.6,173.3,203.7,1003.4
83288,Bom Jesus da Lapa,Bom Jesus da Lapa,1981-2013,BA,118.5,100.3,111.7,52.5,10.1,1.9,0.6,2.6,15.8,54.7,121,207.8,797.5
83339,Caetite,Caetite,1981-2014,BA,98.4,69,120.7,45.8,12.5,10.1,10.4,4.9,17.6,61.9,153.6,164.6,769.5
83226,Camacari,Camacari,1981-2015,BA,87,101.7,143.7,226.9,244.4,232.8,184.9,139.7,103,85.8,111.8,74.9,1736.6
83398,Canavieiras,Canavieiras,1981-2016,BA,95.2,118.4,180.2,195.5,145.1,135.5,140,91.2,77.4,124.8,143.2,145.3,1591.8
83498,Caravelas,Caravelas,1981-2017,BA,83.8,66.7,147.5,161.8,134.9,85.1,105.6,58.3,90.2,102.7,220.7,148,1405.3
83408,Carinhanha,Carinhanha,1981-2018,BA,101.8,105.2,119.5,42.2,5,2.1,0.4,0.2,9.5,35.3,145.3,191.1,757.6
83192,Cipo,Cipo,1981-2019,BA,35.9,43.5,64.3,54.7,57.8,62.2,52.8,36,27.4,24.8,56,39,554.4
83286,Correntina,Correntina,1981-2020,BA,130,104.4,145.5,62,9,0.5,0.3,2.3,10.2,74.2,164.7,220.8,923.9
83222,Cruz das Almas,Cruz das Almas,1981-2021,BA,63,70.2,97.5,136.5,122.8,142.6,122.8,91.3,79.6,54.8,76.8,59.5,1117.4
