nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_07_15,02_07_15,03_07_15,04_07_15,05_07_15,06_07_15,07_07_15,08_07_15,09_07_15,10_07_15,11_07_15,12_07_15,13_07_15,14_07_15,15_07_15,16_07_15,17_07_15,18_07_15,19_07_15,20_07_15,21_07_15,22_07_15,23_07_15,24_07_15,25_07_15,26_07_15,27_07_15,28_07_15,29_07_15,30_07_15,31_07_15,total
Itaberaba,A408,Itaberaba,Itaberaba - A408,-12.524062,-40.299714,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.6,4.6,2.8,0.4,0.8,0.0,0.0,6.8,8.0,0.0,0.0,0.6,0.2,2.6,0.4,32.2
Macajuba,A412,Macajuba,Macajuba - A412,-12.131694,-40.354222,Chapada Diamantina,RPGA do Rio Paraguaçu,1.6,0.2,0.0,0.0,0.0,0.0,1.8,1.0,2.6,0.0,1.6,3.2,0.4,0.6,7.2,2.2,7.2,0.8,1.0,6.8,2.4,0.0,0.2,5.0,2.6,0.4,1.2,0.2,0.0,1.2,1.4,52.81
Itaberaba,83244,Itaberaba,Itaberaba - 83244,-12.516667,-40.283333,Chapada Diamantina,RPGA do Rio Paraguaçu,1.7,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.8,3.6,1.0,0.2,4.1,7.4,3.8,4.1,4.6,2.8,0.3,0.6,0.0,0.0,6.2,8.0,0.0,0.0,0.5,0.0,2.3,0.3,52.7
Lençóis,83242,Lençóis,Lençóis - 83242,-12.5575,-41.388889,Chapada Diamantina,RPGA do Rio Paraguaçu,3.0,0.6,0.0,0.0,0.0,0.0,1.2,0.1,0.1,0.6,3.6,10.3,0.0,0.6,3.6,3.9,13.1,0.7,1.4,0.7,0.1,0.0,0.0,3.7,3.1,0.0,0.0,0.0,0.1,0.0,0.0,50.51
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,6.8,0.0,0.0,0.0,0.0,0.0,1.8,1.2,2.8,0.2,3.2,1.2,3.0,1.2,2.4,0.8,3.0,2.4,0.2,2.0,0.0,0.0,0.0,1.3,3.0,0.0,0.0,0.0,0.0,0.0,0.6,37.1
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,11.2,0.0,0.0,0.0,0.2,2.0,4.0,0.8,0.2,0.0,0.2,5.6,0.0,4.2,8.4,4.6,7.4,7.2,0.6,0.0,0.0,0.0,0.0,7.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,64.2
Lençóis,A425,Lençóis,Lençóis - A425,-12.557854,-41.388808,Chapada Diamantina,RPGA do Rio Paraguaçu,3.2,0.6,0.0,0.0,0.0,0.0,1.2,0.0,0.2,0.6,3.8,10.6,0.2,1.0,3.8,4.4,13.0,0.8,1.4,0.8,0.2,0.0,0.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,53.0
Itaetê,,Itaetê,Itaetê,-12.991944,-40.960833,Chapada Diamantina,RPGA do Rio Paraguaçu,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,2.2,0.2,0.4,2.6,1.0,1.8,2.6,3.0,0.2,1.0,0.0,0.0,0.8,0.6,0.0,0.0,0.0,0.0,0.4,0.2,23.2
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.5,2.25,0.0,0.75,1.75,1.25,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.25,0.25,0.0,12.25
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,Chapada Diamantina,RPGA do Rio Paraguaçu,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.5,0.25,0.5,0.25,7.0,4.25,2.25,0.75,2.5,0.0,0.25,0.0,0.0,0.25,9.75,0.0,0.0,0.0,0.0,0.0,0.0,29.75
