nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_02_20,02_02_20,03_02_20,04_02_20,05_02_20,06_02_20,07_02_20,08_02_20,09_02_20,10_02_20,11_02_20,12_02_20,13_02_20,14_02_20,15_02_20,16_02_20,17_02_20,18_02_20,19_02_20,20_02_20,21_02_20,22_02_20,23_02_20,24_02_20,25_02_20,26_02_20,27_02_20,28_02_20,29_02_20,total
Itaberaba,A408,Itaberaba,Itaberaba - A408,-12.524062,-40.299714,Chapada Diamantina,RPGA do Rio Paraguaçu,1.6,0.0,0.0,1.2,0.2,0.0,8.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.2,0.0,0.0,0.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,1.6,17.8
Macajuba,A412,Macajuba,Macajuba - A412,-12.131694,-40.354222,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
Lençóis,83242,Lençóis,Lençóis - 83242,-12.5575,-41.388889,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,1.9,21.3,2.0,0.0,0.0,1.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,5.8,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.6
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.6,0.0,19.2,2.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.2,0.0,0.4,0.0,0.0,0.2,13.6,0.0,0.8,0.4,0.0,0.0,0.0,42.0
Livramento de Nossa Senhora,291950401U,Livramento de Nossa Senhora,Livramento de Nossa Senhora - 291950401U,-13.682872,-41.841236,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,13.4,0.8,0.0,0.0,0.0,0.2,42.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,4.2,1.0,0.0,0.0,0.0,0.0,62.01
Iaçu,51280000,Iaçu,Iaçu - 51280000,-12.7622,-40.2136,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,6.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2
Lençóis,A425,Lençóis,Lençóis - A425,-12.557854,-41.388808,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,2.0,20.2,2.0,0.0,0.0,1.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,6.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2
Itaetê,,Itaetê,Itaetê,-12.991944,-40.960833,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,806.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.6,2.8,0.6,0.0,0.0,0.4,2.8,0.0,0.0,0.0,814.6
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,2.2,0.0,0.0,4.8,0.0,1.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,9.8
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,1.8,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,32.0,44.6,15.0,0.0,1.8,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,95.21
Machado Portela,PG-PR-26,Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,-13.153732,-40.768155,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,7.8,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,21.6
Fazenda Cachoeira,PM-FD-01,Érico Cardoso,Érico Cardoso (Fazenda Cachoeira) - PM-FD-01,-13.424562,-42.162095,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.0,0.0,19.8,6.8,0.0,0.0,1.6,23.2,9.2,0.0,0.0,0.0,0.0,0.0,37.8,0.0,0.0,2.6,1.6,15.4,0.0,0.0,4.0,0.0,1.0,0.0,0.0,10.0,133.0
Rio do Pires,PM-CL-04,Rio do Pires,Rio do Pires - PM-CL-04,-13.11695,-42.28411,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.0,13.4,1.6,1.2,0.0,16.2,0.0,3.4,19.6,11.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,81.4
Seabra,PG-CL-09,Seabra,Seabra - PG-CL-09,-12.39971,-41.78893,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.3,7.2,11.3,1.0,12.9,6.0,15.4,12.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,67.9
Iaçu,PG-CL-05,Iaçu,Iaçu - PG-CL-05,-12.9114,-40.03177,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.2,2.6,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,5.21
Ibiaporã,PG-CL-01,Mundo Novo,Mundo Novo (Ibiaporã) - PG-CL-01,-12.05379,-40.83722,Chapada Diamantina,RPGA do Rio Paraguaçu,0.1,0.0,8.3,24.3,3.6,11.8,6.3,15.1,4.7,0.1,0.1,0.0,3.0,5.1,3.8,0.0,0.6,8.2,4.2,1.0,0.0,11.4,0.0,0.0,0.3,0.0,1.1,0.0,1.2,114.3
Marcionílio Souza,PG-CL-03,Marcionílio Souza,Marcionílio Souza - PG-CL-03,-13.00021,-40.537783,Chapada Diamantina,RPGA do Rio Paraguaçu,0.8,0.0,11.5,3.3,0.6,1.8,2.0,6.6,5.0,0.0,0.0,0.0,3.2,0.2,0.6,0.1,0.9,5.8,5.8,2.4,3.2,0.0,2.1,2.9,0.9,0.0,2.2,0.0,0.0,61.91
