nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_12_21,02_12_21,03_12_21,04_12_21,05_12_21,06_12_21,07_12_21,08_12_21,09_12_21,10_12_21,11_12_21,12_12_21,13_12_21,14_12_21,15_12_21,16_12_21,17_12_21,18_12_21,19_12_21,20_12_21,21_12_21,22_12_21,23_12_21,24_12_21,25_12_21,26_12_21,27_12_21,total
Lençóis,83242,Lençóis,Lençóis - 83242,-12.5575,-41.388889,Chapada Diamantina,RPGA do Rio Paraguaçu,29.9,7.9,23.2,88.1,2.6,13.7,0.0,1.0,41.0,1.2,162.3,9.1,0.0,0.0,0.0,0.0,0.0,1.0,0.1,25.5,40.0,39.0,86.5,0.5,18.4,1.4,25.5,617.9
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,18.3,11.8,0.4,10.2,0.4,7.3,0.0,0.0,40.2,2.7,14.6,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2,23.8,11.4,19.8,16.2,4.5,4.1,223.11
Iaçu,51280000,Iaçu,Iaçu - 51280000,-12.7622,-40.2136,Chapada Diamantina,RPGA do Rio Paraguaçu,4.8,1.4,0.0,5.8,5.4,3.8,0.0,0.0,0.0,0.6,5.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.6,0.2,28.2,0.2,16.2,40.8,46.4,0.2,163.8
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,2.4,2.4,0.0,7.8,0.4,0.0,0.0,0.0,6.6,0.4,6.6,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.4,20.6,0.2,12.8,18.6,102.4,0.2,182.2
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,Chapada Diamantina,RPGA do Rio Paraguaçu,4.6,1.6,0.0,3.8,1.8,1.0,0.0,0.0,0.4,2.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.2,71.0,0.6,48.8,21.4,49.2,0.0,217.61
Wagner,PG-PR-22,Wagner,Wagner - PG-PR-22,-12.289538,-41.161774,Chapada Diamantina,RPGA do Rio Paraguaçu,10.0,5.8,3.6,35.4,2.2,18.2,0.0,2.6,35.6,1.2,68.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,39.4,6.8,1.6,27.0,3.6,5.0,270.81
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,2.6,19.8,42.2,19.2,0.0,4.8,3.4,1.4,40.2,2.4,28.6,1.2,0.0,0.0,0.4,2.4,0.0,0.0,0.0,5.6,12.4,9.6,20.0,14.2,16.0,15.6,29.6,291.6
Machado Portela,PG-PR-26,Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,-13.153732,-40.768155,Chapada Diamantina,RPGA do Rio Paraguaçu,8.0,5.6,0.4,29.2,3.2,0.2,0.0,1.0,30.0,4.6,9.4,0.2,0.0,0.0,0.2,0.6,0.0,0.0,0.0,9.6,2.2,14.0,35.0,0.0,22.6,57.0,2.2,235.2
Rio do Pires,PM-CL-04,Rio do Pires,Rio do Pires - PM-CL-04,-13.11695,-42.28411,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,0.0,16.0,0.0,31.4,1.0,2.0,4.8,0.0,45.8,2.0,22.8,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,23.8,33.4,24.8,25.8,6.8,32.6,76.0,22.8,372.41
Iaçu,PG-CL-05,Iaçu,Iaçu - PG-CL-05,-12.9114,-40.03177,Chapada Diamantina,RPGA do Rio Paraguaçu,1.6,2.2,0.0,5.2,9.0,1.8,0.8,0.2,0.2,2.0,11.2,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.8,14.8,13.4,16.6,41.4,78.2,0.8,201.41
Ibiaporã,PG-CL-01,Mundo Novo,Mundo Novo (Ibiaporã) - PG-CL-01,-12.05379,-40.83722,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.8
Marcionílio Souza,PG-CL-03,Marcionílio Souza,Marcionílio Souza - PG-CL-03,-13.00021,-40.537783,Chapada Diamantina,RPGA do Rio Paraguaçu,17.8,2.2,23.6,7.6,0.2,0.2,0.0,0.0,17.4,4.6,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,11.0,28.4,37.0,50.8,0.4,237.8
Iraquara,PG-PR-02,Iraquara,Iraquara - PG-PR-02,-12.255093,-41.61679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.2,0.0,29.8,19.2,1.8,0.0,0.0,2.4,31.8,6.0,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.8,10.2,6.0,0.0,37.8,1.4,13.0,198.01
Piritiba,PG-PR-07,Piritiba,Piritiba - PG-PR-07,-11.733137,-40.562306,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baixa Grande,PG-PR-08,Baixa Grande,Baixa Grande - PG-PR-08,-11.908701,-40.183683,Chapada Diamantina,RPGA do Rio Paraguaçu,24.2,0.0,0.0,2.2,0.0,44.6,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.6,87.4,1.0,29.8,3.2,0.8,0.0,214.61
Tapiramutá,PG-PR-09,Tapiramutá,Tapiramutá - PG-PR-09,-11.838502,-40.791761,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,2.2,0.2,16.8,3.4,0.6,0.0,0.0,36.4,0.4,14.4,0.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,40.2,11.8,41.8,12.2,0.0,15.4,2.4,0.6,202.4
Ventura,PG-PR-10,Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,-11.650911,-40.951765,Chapada Diamantina,RPGA do Rio Paraguaçu,1.2,1.4,8.6,11.8,6.2,3.2,0.0,0.0,23.6,0.4,19.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,19.4,15.4,3.6,14.2,7.2,8.0,147.2
Centro,291900901A,Lajedinho,Lajedinho (Centro) - 291900901A,-12.35585,-40.90228,Chapada Diamantina,RPGA do Rio Paraguaçu,16.8,13.8,5.2,24.6,1.4,1.2,0.4,0.0,47.6,34.8,28.4,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,18.2,4.2,1.8,22.6,5.8,0.8,232.61
PC Ponte Rio Capivari,51326200,Itaberaba,Itaberaba (PC Ponte Rio Capivari) - 51326200,-12.51429,-39.93422,Chapada Diamantina,RPGA do Rio Paraguaçu,1.4,0.2,1.2,1.0,0.0,7.4,0.2,0.0,0.0,7.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,23.6
Fazenda Terra Grapiúna,PG-FR-04,Wagner,Wagner (Fazenda Terra Grapiúna) - PG-FR-04,-12.181482,-41.150663,Chapada Diamantina,RPGA do Rio Paraguaçu,6.2,3.2,7.0,16.4,3.8,39.4,0.0,0.0,6.0,0.4,54.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,56.6,3.6,0.2,8.8,1.4,4.6,215.6
Cipó,83192,Cipó,Cipó - 83192,-11.083333,-38.516667,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,23.6,6.8,3.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.5,2.6,3.2,0.6,2.2,7.4,20.0,85.31
Jacobina,83186,Jacobina,Jacobina - 83186,-11.172778,-40.534167,Nordeste,RPGA do Rio Itapicuru,49.0,0.0,5.2,13.0,4.4,12.8,0.0,0.0,8.4,1.8,3.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,23.2,28.6,0.2,3.2,57.2,34.7,2.8,248.4
Ladeira Vermelha,291750801A,Jacobina,Jacobina (Ladeira Vermelha) - 291750801A,-11.161707,-40.554213,Nordeste,RPGA do Rio Itapicuru,27.0,0.0,15.0,6.0,2.4,29.4,0.4,0.0,5.4,1.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,28.6,2.4,2.4,47.4,29.0,2.6,230.4
Feliz Tomaz,291750802A,Jacobina,Jacobina (Feliz Tomaz) - 291750802A,-11.174316,-40.517837,Nordeste,RPGA do Rio Itapicuru,30.2,0.2,9.0,5.8,4.4,21.6,0.2,0.0,18.6,1.6,0.4,0.2,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,22.4,27.4,0.4,2.6,56.6,35.6,3.8,243.8
Serrinha,83190,Serrinha,Serrinha - 83190,-11.633333,-38.966667,Nordeste,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,29.6,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.1,0.0,16.6,21.2,24.5,0.5,127.91
Pedras Altas,50430000,Capim Grosso,Capim Grosso (Pedras Altas) - 50430000,-11.18288,-40.04725,Nordeste,RPGA do Rio Itapicuru,2.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,2.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,49.0,0.0,2.2,16.2,27.2,13.8,137.21
Ponto Novo,50380000,Ponto Novo,Ponto Novo - 50380000,-10.845,-40.1128,Nordeste,RPGA do Rio Itapicuru,0.2,0.0,0.0,0.0,10.6,8.0,0.2,0.0,2.8,8.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,10.6,4.0,2.6,13.4,12.0,15.2,119.8
Pé de Serra,PG-CL-07,Pé de Serra,Pé de Serra - PG-CL-07,-11.83676,-39.65905,Nordeste,RPGA do Rio Paraguaçu,3.0,0.0,0.0,0.0,0.6,10.2,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,57.6,11.8,1.0,17.8,22.0,32.8,0.0,158.8
Caldas do Jorro,IT-CL-05,Tucano,Tucano (Caldas do Jorro) - IT-CL-05,-11.03477,-38.80386,Nordeste,RPGA do Rio Itapicuru,2.0,0.0,0.0,0.0,28.6,14.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,3.0,0.4,15.0,7.4,11.6,17.4,110.81
Saúde,IT-CL-04,Saúde,Saúde - IT-CL-04,-10.95669,-40.38329,Nordeste,RPGA do Rio Itapicuru,20.0,0.0,0.0,0.4,2.8,13.0,0.0,0.0,15.2,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,34.4,1.2,7.0,33.2,19.2,8.2,218.6
Lajinha,IT-CL-06,Várzea do Poço,Várzea do Poço (Lajinha) - IT-CL-06,-11.4964,-40.34474,Nordeste,RPGA do Rio Itapicuru,4.0,0.0,0.0,11.0,5.0,6.2,0.0,0.0,15.8,13.0,1.8,1.4,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,43.0,32.6,27.8,13.8,23.4,22.2,1.0,223.0
Ipirá,PG-CL-02,Ipirá,Ipirá - PG-CL-02,-12.14986,-39.76454,Nordeste,RPGA do Rio Paraguaçu,2.4,0.0,0.0,0.0,0.0,1.2,0.0,0.0,2.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,2.4,22.0,0.4,23.2,34.0,9.0,0.0,98.8
Pé de Serra,PG-PR-06,Pé de Serra,Pé de Serra - PG-PR-06,-11.833423,-39.623663,Nordeste,RPGA do Rio Paraguaçu,1.6,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,10.0,13.2,28.8,19.6,20.2,0.0,172.8
Centro,293010501A,Senhor do Bonfim,Senhor do Bonfim (Centro) - 293010501A,-10.464,-40.19,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,2.56,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.8,5.34,0.0,9.7
Itapeipu,IT-PR-34,Jacobina,Jacobina (Itapeipu) - IT-PR-34,-11.315629,-40.356742,Nordeste,RPGA do Rio Itapicuru,1.2,0.0,0.2,8.4,1.2,1.8,0.0,0.0,16.6,11.4,5.2,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,62.8,28.8,12.2,3.2,50.8,26.2,4.4,235.6
Caém,IT-PR-35,Caém,Caém - IT-PR-35,-11.093399,-40.437579,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,1.0,3.2,54.2,0.0,0.0,9.2,3.0,1.0,0.2,0.0,0.0,0.8,3.6,0.0,0.4,0.0,0.0,20.2,29.2,0.4,9.6,19.4,11.8,9.6,176.81
Santaluz,IT-PR-17,Santaluz,Santaluz - IT-PR-17,-11.24831,-39.37563,Nordeste,RPGA do Rio Itapicuru,0.2,0.0,0.0,0.0,5.4,6.6,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,9.4,0.0,3.0,8.0,7.0,6.6,52.0
Curral Falso,IT-PR-01,Ribeira do Pombal,Ribeira do Pombal (Curral Falso) - IT-PR-01,-10.697843,-38.5714,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,15.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,3.2,0.0,0.0,1.2,75.5,38.0,199.1
Ribeira do Pombal,IT-PR-04,Ribeira do Pombal,Ribeira do Pombal - IT-PR-04,-10.823399,-38.545844,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,32.8,67.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,4.4,0.6,0.0,1.8,5.4,15.8,133.6
BR 116 E. Cunha / Tucano,IT-PR-05,Quijingue,Quijingue (BR 116 E. Cunha / Tucano) - IT-PR-05,-10.7105,-38.9227,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,1.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.6,4.2,8.4,0.0,26.8
Crisópolis,IT-PR-08,Crisópolis,Crisópolis - IT-PR-08,-11.510923,-38.120832,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,1.2,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.6,0.0,0.0,0.0,0.8,9.4,0.0,0.4,3.0,2.4,0.6,36.0
Fazenda Laranjeiras III,IT-PR-09,Araci,Araci (Fazenda Laranjeiras III) - IT-PR-09,-11.334248,-38.968638,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,13.8,0.2,0.2,0.0,0.0,0.0,0.2,15.2
Boa Hora,IT-PR-13,Ribeira do Amparo,Ribeira do Amparo (Boa Hora) - IT-PR-13,-10.965,-38.5234,Nordeste,RPGA do Rio Itapicuru,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,271.5,0.0,0.0,0.2,275.5
Fazenda Alecrim ,IT-FR-21,Filadélfia,Filadélfia (Fazenda Alecrim ) - IT-FR-21,-10.7522,-40.22444,Nordeste,RPGA do Rio Itapicuru,0.2,0.0,0.0,0.0,10.4,4.4,2.4,0.0,12.6,9.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.8,0.0,6.2,8.8,13.6,14.4,117.8
Fazenda Grutinha,IT-FR-13,Pindobaçu,Pindobaçu (Fazenda Grutinha) - IT-FR-13,-10.7589,-40.4367,Nordeste,RPGA do Rio Itapicuru,28.6,0.0,0.0,0.2,1.4,33.4,0.0,0.0,18.6,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,24.4,0.0,40.4,26.2,25.0,11.4,216.2
Queimadas,IT-FR-26,Queimadas,Queimadas - IT-FR-26,-10.9733,-39.6328,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,37.4,3.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,13.0,4.2,9.4,0.0,38.4,10.4,118.21
Itaberaba,291840701A,Juazeiro,Juazeiro (Itaberaba) - 291840701A,-9.44837,-40.48517,Norte,RPGA dos Rios Macururé e Curaçá,0.2,1.8,0.2,8.6,3.0,0.0,0.0,0.0,41.6,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,1.4,2.6,8.8,36.2,44.8,11.2,170.2
Maria Gorete,291840703A,Juazeiro,Juazeiro (Maria Gorete) - 291840703A,-9.42014,-40.49909,Norte,RPGA dos Rios Macururé e Curaçá,0.0,4.2,0.0,3.4,3.2,0.0,0.0,0.0,35.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,1.6,0.2,9.0,21.2,51.2,19.2,155.8
João Paulo II,291840704A,Juazeiro,Juazeiro (João Paulo II) - 291840704A,-9.47067,-40.49805,Norte,RPGA dos Rios Macururé e Curaçá,0.0,1.4,0.0,19.2,8.8,0.0,0.0,0.0,30.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.4,0.0,8.2,41.4,53.0,11.6,185.0
Lapão,291915701A,Lapão,Lapão - 291915701A,-11.38,-41.83,Norte,RPGA dos Rios Verde e Jacaré,12.4,0.0,22.6,19.6,4.6,2.4,0.0,0.0,50.6,0.6,31.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,7.6,23.4,8.0,13.8,20.8,36.8,3.2,272.8
Centro,290115501A,América Dourada,América Dourada (Centro) - 290115501A,-11.45011,-41.434004,Norte,RPGA dos Rios Verde e Jacaré,4.2,0.0,16.2,2.2,0.0,0.0,0.0,0.0,46.4,0.2,29.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,51.0,44.8,9.6,1.0,7.0,13.4,0.0,239.61
CODEVASF Salitre,MC-CL-01,Juazeiro,Juazeiro (CODEVASF Salitre) - MC-CL-01,-9.48778,-40.61333,Norte,RPGA dos Rios Macururé e Curaçá,0.0,10.2,0.0,7.2,17.6,0.6,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,25.0,4.0,0.2,11.8,9.6,33.8,9.4,212.6
Campo Formoso,IT-CL-02,Campo Formoso,Campo Formoso - IT-CL-02,-10.47062,-40.33412,Norte,RPGA do Rio Itapicuru,0.0,0.0,4.4,1.2,0.2,4.8,0.2,0.0,30.2,4.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,12.8,1.4,3.0,13.8,11.8,11.2,108.2
Sento Sé,SO-CL-01,Sento Sé,Sento Sé - SO-CL-01,-9.78228,-41.81872,Norte,RPGA do Lago de Sobradinho,0.0,0.0,0.0,2.6,0.0,10.4,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,11.4,1.8,15.0,23.2,9.0,19.2,117.0
Itaguaçu da Bahia,VJ-CL-03,Itaguaçu da Bahia,Itaguaçu da Bahia - VJ-CL-03,-10.9549,-42.3465,Norte,RPGA dos Rios Verde e Jacaré,11.8,0.0,1.6,25.6,2.4,0.0,0.0,0.0,27.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,9.4,21.6,2.0,11.8,15.4,1.6,133.0
Juazeiro,48020000,Juazeiro,Juazeiro - 48020000,-9.4064,-40.5036,Norte,RPGA dos Rios Macururé e Curaçá,0.2,8.6,0.0,7.8,6.2,0.2,1.0,0.0,26.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.4,0.2,9.0,21.0,58.6,15.4,159.8
Ibipeba,VJ-CL-02,Ibipeba,Ibipeba - VJ-CL-02,-11.62667,-42.06444,Norte,RPGA dos Rios Verde e Jacaré,87.4,3.6,0.0,23.0,0.8,0.0,0.0,3.4,66.4,1.2,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,16.0,16.8,146.4,11.4,32.8,19.0,42.0,527.8
Lapão,VJ-PR-23,Lapão,Lapão - VJ-PR-23,-11.401625,-41.894,Norte,RPGA dos Rios Verde e Jacaré,19.0,0.2,24.8,6.0,2.2,0.0,0.0,0.0,49.2,14.0,93.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,44.8,6.6,4.4,19.6,23.8,14.2,322.8
Mirangaba,IT-PR-29,Mirangaba,Mirangaba - IT-PR-29,-10.954784,-40.574527,Norte,RPGA do Rio Itapicuru,0.0,0.0,13.8,1.0,1.2,6.2,0.0,0.0,0.0,2.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.2,0.4,1.2,4.8,11.6,7.6,60.6
Correntina,83286,Correntina,Correntina - 83286,-13.332222,-44.617222,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,12.1,0.6,41.0,0.0,0.0,7.8,24.4,16.4,37.1,3.3,0.3,23.5,0.0,0.0,0.0,0.0,0.0,0.0,5.6,33.7,16.3,12.6,41.3,17.7,41.5,44.3,379.5
Derocal,46455000,São Desidério,São Desidério (Derocal) - 46455000,-12.412696,-45.121499,Oeste,RPGA do Rio Grande,5.6,11.0,2.6,24.6,0.4,28.8,1.0,33.2,23.8,27.6,15.0,41.4,3.2,0.0,0.0,0.0,0.0,0.0,0.2,3.0,30.4,10.2,55.8,7.0,10.8,43.2,64.8,443.6
Fazenda Redenção,46543000,Barreiras,Barreiras (Fazenda Redenção) - 46543000,-12.1358,-45.1033,Oeste,RPGA do Rio Grande,1.2,20.8,4.8,22.2,0.0,4.2,0.2,8.2,37.0,35.0,9.8,9.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,13.4,0.2,88.8,13.8,3.2,74.4,67.0,415.0
Fazenda Barcelona,GR-CL-03,Formosa do Rio Preto,Formosa do Rio Preto (Fazenda Barcelona) - GR-CL-03,-11.59139,-46.02194,Oeste,RPGA do Rio Grande,17.8,24.8,0.2,7.6,6.4,0.0,0.0,1.8,4.4,0.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,5.8,0.0,0.8,0.6,72.6
PCH Pres. Goulart-J,45600000,Correntina,Correntina (PCH Pres. Goulart-J) - 45600000,-13.3344,-44.6208,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,11.4,0.4,43.4,0.0,0.0,9.0,21.0,16.0,36.0,4.2,0.8,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,36.8,14.4,12.0,38.6,19.0,42.8,41.4,376.8
