nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_02_21,02_02_21,03_02_21,04_02_21,05_02_21,06_02_21,07_02_21,08_02_21,09_02_21,10_02_21,11_02_21,12_02_21,13_02_21,14_02_21,15_02_21,16_02_21,17_02_21,18_02_21,19_02_21,20_02_21,21_02_21,22_02_21,23_02_21,24_02_21,25_02_21,26_02_21,27_02_21,28_02_21,total
Lençóis,83242,Lençóis,Lençóis - 83242,-12.5575,-41.388889,Chapada Diamantina,RPGA do Rio Paraguaçu,15.0,4.5,0.3,0.1,0.1,0.1,17.0,3.7,16.7,0.6,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.2,5.1,4.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.2,69.31
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,0.0,0.0,0.0,0.0,19.0,29.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,6.8,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,114.9
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,0.0,33.2,0.0,0.0,4.0,0.0,6.8,4.0,8.4,3.4,0.0,0.0,0.0,0.0,0.0,21.6,0.2,9.0,27.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,122.0
Livramento de Nossa Senhora,291950401U,Livramento de Nossa Senhora,Livramento de Nossa Senhora - 291950401U,-13.682872,-41.841236,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,6.8,3.0,0.2,39.6,30.8,37.2,0.2,0.0,0.0,0.0,0.0,0.0,1.8,2.4,17.0,19.6,7.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,2.2,169.6
Iaçu,51280000,Iaçu,Iaçu - 51280000,-12.7622,-40.2136,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.2,1.6,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6,4.2,20.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,104.2
Lençóis,A425,Lençóis,Lençóis - A425,-12.557854,-41.388808,Chapada Diamantina,RPGA do Rio Paraguaçu,0.2,4.4,0.0,0.4,0.0,0.0,3.6,0.0,3.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.6,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.41
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,4.0,0.2,0.0,2.2,0.0,0.0,0.6,4.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,14.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,132.2
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.2,0.2,0.0,0.0,3.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,71.8,5.4,5.6,0.0,0.0,0.0,25.8,0.4,4.4,1.2,0.0,0.0,0.0,0.0,0.0,22.2,1.2,15.8,19.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,184.8
Machado Portela,PG-PR-26,Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,-13.153732,-40.768155,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.2,0.0,0.0,0.0,0.0,1.4,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4
