nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_02_22,02_02_22,03_02_22,04_02_22,05_02_22,06_02_22,07_02_22,08_02_22,09_02_22,10_02_22,11_02_22,12_02_22,13_02_22,14_02_22,15_02_22,16_02_22,17_02_22,18_02_22,19_02_22,20_02_22,21_02_22,total
Lençóis,83242,Lençóis,Lençóis - 83242,-12.5575,-41.388889,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.1,0.0,21.6,6.5,0.3,0.6,0.0,1.0,0.0,0.0,18.0,50.5
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,2.2,0.0,0.0,0.0,0.0,0.4,3.2,2.2,35.2
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.0,2.2,11.2,0.2,0.0,0.0,2.4,0.0,0.4,29.4,0.6,0.0,4.6,0.4,0.2,0.0,1.4,53.0
Iaçu,51280000,Iaçu,Iaçu - 51280000,-12.7622,-40.2136,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,14.0,15.2,0.0,0.0,11.0,0.0,0.0,0.0,6.4,48.0
Lençóis,A425,Lençóis,Lençóis - A425,-12.557853999999999,-41.388808000000004,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,20.4,6.6,0.4,0.6,0.0,1.0,0.0,0.0,16.6,46.8
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,2.4,5.4,0.0,0.8,0.0,0.0,0.0,0.0,22.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,47.2
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.800391000000001,-40.363139000000004,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.2,6.6,0.0,4.6,8.0,0.0,4.2,0.0,0.0,0.0,0.6,0.8,25.8
Wagner,PG-PR-22,Wagner,Wagner - PG-PR-22,-12.289538,-41.161774,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,19.2,0.0,0.0,0.0,0.0,0.0,9.6,18.2,50.4
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,120.4,2.4,0.0,0.0,0.0,0.0,0.0,2.2,0.0,126.61
Machado Portela,PG-PR-26,Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,-13.153732000000002,-40.768155,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Iaçu,PG-CL-05,Iaçu,Iaçu - PG-CL-05,-12.9114,-40.03177,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,37.2,0.0,0.0,0.4,1.0,0.0,0.0,0.0,32.6,73.2
Marcionílio Souza,PG-CL-03,Marcionílio Souza,Marcionílio Souza - PG-CL-03,-13.000210000000001,-40.537783000000005,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,22.8,0.0,0.0,6.4,12.4,0.0,0.2,0.0,0.0,0.0,0.0,0.6,43.81
Iraquara,PG-PR-02,Iraquara,Iraquara - PG-PR-02,-12.255092999999999,-41.61679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,6.2,2.6,0.0,0.0,0.0,0.0,0.0,7.2,24.8
Ventura,PG-PR-10,Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,-11.650911,-40.951765,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,1.2,0.4,0.0,0.2,0.0,0.0,38.6,2.6,70.0
Piatã,CO-CL-04,Piatã,Piatã - CO-CL-04,-13.164166,-41.770833,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.0,5.25,34.0,0.0,0.0,0.0,0.0,0.0,13.75,18.5,2.25,0.0,8.25,2.0,0.0,0.0,0.0,84.0
Centro,291900901A,Lajedinho,Lajedinho (Centro) - 291900901A,-12.35585,-40.90228,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,7.0,0.0,0.0,0.2,0.0,0.8,0.2,16.8
Ibicoara,PG-FR-10,Ibicoara,Ibicoara - PG-FR-10,-13.433979999999998,-41.34023,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,12.8,0.0,0.0,0.0,0.0,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4
Fazenda Terra Grapiúna,PG-FR-04,Wagner,Wagner (Fazenda Terra Grapiúna) - PG-FR-04,-12.181482,-41.150663,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.2,1.0,6.2
Jacobina,83186,Jacobina,Jacobina - 83186,-11.172778,-40.534167,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1,27.7,5.1,0.0,0.0,0.0,0.0,0.0,16.6,0.0,58.1
Ladeira Vermelha,291750801A,Jacobina,Jacobina (Ladeira Vermelha) - 291750801A,-11.161707,-40.554213,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,25.8,10.0,0.0,1.4,0.2,0.0,0.0,11.2,0.2,56.0
Feliz Tomaz,291750802A,Jacobina,Jacobina (Feliz Tomaz) - 291750802A,-11.174316000000001,-40.517837,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,4.4,0.2,0.0,0.0,0.0,0.0,0.0,1.0,38.4,14.6,0.2,1.4,0.0,0.0,0.0,23.0,0.0,83.2
Conde,A431,Conde,Conde - A431,-12.03622,-37.68322,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,3.4,0.0,8.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,4.4,19.6
