nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_01_22,02_01_22,03_01_22,04_01_22,05_01_22,06_01_22,07_01_22,08_01_22,09_01_22,10_01_22,11_01_22,12_01_22,13_01_22,14_01_22,15_01_22,16_01_22,17_01_22,18_01_22,19_01_22,20_01_22,21_01_22,22_01_22,23_01_22,24_01_22,25_01_22,26_01_22,27_01_22,28_01_22,total
Lençóis,83242,Lençóis,Lençóis - 83242,-12.5575,-41.388889,Chapada Diamantina,RPGA do Rio Paraguaçu,2.6,26.7,0.2,0.2,0.0,0.0,7.0,18.6,71.2,0.0,0.0,0.0,0.0,0.0,1.5,3.7,0.0,0.0,0.0,0.0,0.0,0.4,0.7,4.0,1.6,36.6,15.6,0.8,191.4
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.6,0.0,0.0,0.0,0.0,0.0,33.2,2.0,0.0,0.6,0.0,0.0,0.0,0.1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,7.2,0.0,47.71
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,0.0,3.6,0.4,0.0,0.0,0.0,0.0,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,22.4,0.0,0.0,1.4,35.0,10.8,0.0,0.0,90.2
Iaçu,51280000,Iaçu,Iaçu - 51280000,-12.7622,-40.2136,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.2,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,18.6,0.0,5.8,0.6,0.0,0.6,2.4,43.0
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.0,0.0,0.0,2.2,0.0,0.0,20.4,13.6,2.4,2.6,0.2,51.81
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.800391000000001,-40.363139000000004,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,2.2,0.6,11.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,4.6,3.2,22.2,2.4,0.0,54.0
Wagner,PG-PR-22,Wagner,Wagner - PG-PR-22,-12.289538,-41.161774,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,2.4,6.8,0.0,0.0,0.0,0.0,16.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,1.2,0.8,0.0,6.4,1.0,1.0,40.6
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.2,53.2,0.0,0.0,0.0,0.0,0.0,0.0,4.4,11.2,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,5.2,0.2,1.0,78.2
Machado Portela,PG-PR-26,Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,-13.153732000000002,-40.768155,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,12.6,20.4,0.0,18.2,0.6,0.0,54.6
Iaçu,PG-CL-05,Iaçu,Iaçu - PG-CL-05,-12.9114,-40.03177,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,1.2,0.0,0.0,0.0,0.0,3.8,1.2,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.2,0.0,0.0,0.0,0.0,24.8,5.0,0.2,0.0,21.8,0.0,4.4,4.0,68.2
Marcionílio Souza,PG-CL-03,Marcionílio Souza,Marcionílio Souza - PG-CL-03,-13.000210000000001,-40.537783000000005,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,6.2,0.0,16.8,0.2,11.2,34.8
Iraquara,PG-PR-02,Iraquara,Iraquara - PG-PR-02,-12.255092999999999,-41.61679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,43.2,0.6,0.0,0.2,0.0,0.0,12.6,28.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.8,0.0,0.2,90.4
Tapiramutá,PG-PR-09,Tapiramutá,Tapiramutá - PG-PR-09,-11.838502,-40.791761,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,1.0,0.0,0.0,0.0,0.0,0.2,4.4,0.0,0.0,0.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,7.8,0.0,10.4,27.21
Ventura,PG-PR-10,Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,-11.650911,-40.951765,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,44.0,0.0,2.2,4.0,56.2
Centro,291900901A,Lajedinho,Lajedinho (Centro) - 291900901A,-12.35585,-40.90228,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.4,0.0,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.2,0.0,58.4,4.0,0.2,70.2
PC Ponte Rio Capivari,51326200,Itaberaba,Itaberaba (PC Ponte Rio Capivari) - 51326200,-12.514289999999999,-39.93422,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.6,0.4,0.0,7.2
Ibicoara,PG-FR-10,Ibicoara,Ibicoara - PG-FR-10,-13.433979999999998,-41.34023,Chapada Diamantina,RPGA do Rio Paraguaçu,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.0,0.0,36.1
Fazenda Terra Grapiúna,PG-FR-04,Wagner,Wagner (Fazenda Terra Grapiúna) - PG-FR-04,-12.181482,-41.150663,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,3.8,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.8,0.0,3.8,0.4,0.0,32.2
