nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_03_22,02_03_22,03_03_22,04_03_22,05_03_22,06_03_22,07_03_22,08_03_22,09_03_22,10_03_22,11_03_22,12_03_22,13_03_22,14_03_22,total
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,3.8,4.6,16.6,3.6,0.4,1.2,0.0,0.6,0.0,0.0,30.8
Wagner,PG-PR-22,Wagner,Wagner - PG-PR-22,-12.289538,-41.161774,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.8,11.6,11.8,1.0,8.0,0.2,0.0,12.8,0.8,0.2,0.0,47.2
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,4.8,1.6,1.6,3.0,3.4,3.2,0.6,0.0,0.0,0.0,18.21
Machado Portela,PG-PR-26,Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,-13.153732,-40.768155,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.2,7.2,14.4,8.8,0.8,1.2,0.2,7.6,3.6,0.2,0.0,44.21
Iaçu,PG-CL-05,Iaçu,Iaçu - PG-CL-05,-12.9114,-40.03177,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.4,2.4,2.2,5.0,0.0,1.2,0.2,4.2,0.0,0.0,0.0,15.6
Marcionílio Souza,PG-CL-03,Marcionílio Souza,Marcionílio Souza - PG-CL-03,-13.00021,-40.537783,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,2.4,9.6,13.2,17.2,29.4,7.2,0.6,0.0,3.2,1.0,0.0,0.0,83.8
Iraquara,PG-PR-02,Iraquara,Iraquara - PG-PR-02,-12.255093,-41.61679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.4,5.2,14.4,0.4,0.4,0.0,2.0,0.0,0.0,0.0,0.0,22.8
Ventura,PG-PR-10,Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,-11.650911,-40.951765,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,27.8,17.8,15.0,0.0,0.8,0.6,1.8,0.4,0.0,0.0,0.0,64.2
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,0.0,7.7,9.3,21.3,0.0,0.6,0.0,1.2,0.0,0.0,0.0,0.0,40.1
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,5.4,10.4,2.4,10.0,5.2,1.8,0.0,0.8,0.8,0.0,0.0,36.8
Centro,291900901A,Lajedinho,Lajedinho (Centro) - 291900901A,-12.35585,-40.90228,Chapada Diamantina,RPGA do Rio Paraguaçu,0.6,0.0,0.0,7.8,3.0,18.6,6.4,8.0,0.2,0.2,1.8,0.0,0.2,0.0,46.81
Fazenda Terra Grapiúna,PG-FR-04,Wagner,Wagner (Fazenda Terra Grapiúna) - PG-FR-04,-12.181482,-41.150663,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,1.2,4.2,19.6,0.0,0.2,1.6,0.0,4.2,0.6,0.0,0.2,31.8
Usina Mucugê,PG-FR-20,Mucugê,Mucugê (Usina Mucugê) - PG-FR-20,-13.008835,-41.37113,Chapada Diamantina,RPGA do Rio Paraguaçu,0.2,0.0,0.0,0.8,4.6,15.6,6.8,18.4,1.4,0.8,0.6,1.8,2.0,0.0,53.0
