municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro
Iaçu,Iaçu - 51280000,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.762,-40.214,16.6,104.2,12.41,117.01,7.2,26.01,11.4,9.4,10.6,43.8,160.6
Iacú,Iacú (Lagoa Bonita) - PG-PR-15,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.932,-40.226,19.0,132.2,33.0,161.0,4.4,16.8,9.4,15.4,6.6,28.6,153.2
Mucugê,Mucugê (Guiné) - PG-PR-24,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.772,-41.541,18.2,184.8,11.0,131.0,6.61,22.8,7.8,12.6,0.6,221.8,155.21
Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.154,-40.768,18.8,20.4,15.61,160.2,1.2,5.4,8.21,20.0,3.4,52.41,106.4
Marcionílio Souza,Marcionílio Souza - PG-CL-03,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.0,-40.538,9.2,58.6,20.2,196.21,4.0,8.6,9.6,11.8,10.4,116.41,238.8
Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.651,-40.952,9.4,81.8,6.0,165.0,11.4,21.4,17.0,17.6,1.6,58.61,170.0
Lajedinho,Lajedinho (Centro) - 291900901A,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.356,-40.902,16.0,59.6,29.2,87.6,12.6,24.2,9.8,16.8,6.81,37.2,102.4
Jacobina,Jacobina (Ladeira Vermelha) - 291750801A,Nordeste,RPGA do Rio Itapicuru,-11.162,-40.554,39.2,24.4,14.01,43.6,18.8,20.6,30.0,14.8,2.0,43.8,73.2
Jacobina,Jacobina (Feliz Tomaz) - 291750802A,Nordeste,RPGA do Rio Itapicuru,-11.174,-40.518,64.81,40.6,23.0,107.0,33.2,37.0,80.8,36.2,5.2,105.8,41.2
Capim Grosso,Capim Grosso (Pedras Altas) - 50430000,Nordeste,RPGA do Rio Itapicuru,-11.183,-40.047,2.2,66.2,12.2,98.0,24.6,8.8,49.2,11.0,2.2,51.81,45.81
Ponto Novo,Ponto Novo - 50380000,Nordeste,RPGA do Rio Itapicuru,-10.845,-40.113,3.8,85.01,13.6,109.8,28.6,29.41,45.6,24.4,3.01,24.2,100.6
Capim Grosso,Capim Grosso - IT-CL-03,Nordeste,RPGA do Rio Itapicuru,-11.368,-40.034,1.2,37.4,4.0,172.6,20.41,11.6,70.6,39.0,19.2,18.2,58.2
Pé de Serra,Pé de Serra - PG-CL-07,Nordeste,RPGA do Rio Paraguaçu,-11.837,-39.659,8.4,84.21,2.4,92.4,27.4,15.41,57.2,27.2,2.2,21.6,151.2
Jacobina,Jacobina (Itapeipu) - IT-PR-34,Nordeste,RPGA do Rio Itapicuru,-11.316,-40.357,12.6,82.2,38.6,205.4,35.61,25.0,80.6,48.81,6.0,30.41,61.0
Senhor do Bonfim,Senhor do Bonfim (Carrapichel) - IT-PR-37,Nordeste,RPGA do Rio Itapicuru,-10.388,-40.22,2.8,50.2,17.6,45.4,0.2,2.0,0.0,0.2,4.8,41.01,101.01
Ribeira do Pombal,Ribeira do Pombal (Curral Falso) - IT-PR-01,Nordeste,RPGA do Rio Itapicuru,-10.698,-38.571,12.8,36.0,21.0,136.2,59.61,45.6,107.0,40.2,8.4,16.8,36.4
Ribeira do Amparo,Ribeira do Amparo (Boa Hora) - IT-PR-13,Nordeste,RPGA do Rio Itapicuru,-10.965,-38.523,50.4,12.4,11.61,110.0,61.2,29.8,9.41,10.8,12.21,11.0,5.61
Filadélfia,Filadélfia (Fazenda Alecrim ) - IT-FR-21,Nordeste,RPGA do Rio Itapicuru,-10.752,-40.224,5.2,32.4,47.6,154.0,45.8,31.0,66.6,33.4,2.8,26.2,76.2
Juazeiro,Juazeiro - 48020000,Norte,RPGA dos Rios Macururé e Curaçá,-9.406,-40.504,39.0,70.8,8.8,71.2,0.0,1.4,1.0,0.0,0.0,112.6,48.0
Ibipeba,Ibipeba - VJ-CL-02,Norte,RPGA dos Rios Verde e Jacaré,-11.627,-42.064,23.8,139.01,15.6,52.6,0.0,2.4,0.0,0.0,0.2,37.01,106.61
