municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio
Lençóis,Lençóis - 83242,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.5575,-41.388889,37.2,65.9,152.1,86.81,14.5
Piatã,Piatã - A430,Chapada Diamantina,RPGA do Rio de Contas,-13.155681,-41.774125,117.61,58.0,79.01,31.4,0.0
Iaçu,Iaçu - 51280000,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.7622,-40.2136,16.6,66.2,97.0,30.4,1.4
Lençóis,Lençóis - A425,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.557854,-41.388808,23.6,60.4,132.21,74.4,12.8
Iacú,Iacú (Lagoa Bonita) - PG-PR-15,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.931506,-40.226468,19.0,54.41,74.2,34.2,0.2
Iaçu,Iaçu (João Amaro) - PG-PR-16,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.800391,-40.363139,8.4,38.4,474.61,42.2,0.6
Mucugê,Mucugê (Guiné) - PG-PR-24,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.771772,-41.540679,18.2,133.61,53.41,40.8,0.6
Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.153732000000002,-40.768155,18.8,8.8,79.4,98.8,8.6
Iaçu,Iaçu - PG-CL-05,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.9114,-40.03177,63.41,80.2,30.41,61.0,0.0
Marcionílio Souza,Marcionílio Souza - PG-CL-03,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.00021,-40.537783000000005,9.2,59.21,102.6,105.0,6.6
Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.650911,-40.951765,9.4,70.0,75.0,95.8,2.0
Lajedinho,Lajedinho (Centro) - 291900901A,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.35585,-40.90228,16.0,34.0,63.21,39.8,0.0
Wagner,Wagner (Fazenda Terra Grapiúna) - PG-FR-04,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.181482,-41.150663,8.21,9.8,41.2,38.8,1.8
Jacobina,Jacobina - 83186,Nordeste,RPGA do Rio Itapicuru,-11.172778,-40.534167,51.1,62.2,57.81,72.1,0.0
Jacobina,Jacobina (Ladeira Vermelha) - 291750801A,Nordeste,RPGA do Rio Itapicuru,-11.161707,-40.554213,39.2,59.6,67.6,52.6,0.0
Jacobina,Jacobina (Feliz Tomaz) - 291750802A,Nordeste,RPGA do Rio Itapicuru,-11.174316,-40.517837,64.81,91.8,101.81,88.61,0.4
Capim Grosso,Capim Grosso (Pedras Altas) - 50430000,Nordeste,RPGA do Rio Itapicuru,-11.18288,-40.04725,2.2,31.8,79.2,36.81,5.0
Ponto Novo,Ponto Novo - 50380000,Nordeste,RPGA do Rio Itapicuru,-10.845,-40.1128,3.8,23.4,42.0,26.0,0.6
Pé de Serra,Pé de Serra - PG-CL-07,Nordeste,RPGA do Rio Paraguaçu,-11.83676,-39.65905,8.4,30.6,73.4,56.6,2.81
Tucano,Tucano (Caldas do Jorro) - IT-CL-05,Nordeste,RPGA do Rio Itapicuru,-11.03477,-38.80386,3.6,48.81,50.0,76.4,0.4
Saúde,Saúde - IT-CL-04,Nordeste,RPGA do Rio Itapicuru,-10.95669,-40.38329,61.81,87.81,76.8,24.0,0.0
Várzea do Poço,Várzea do Poço (Lajinha) - IT-CL-06,Nordeste,RPGA do Rio Itapicuru,-11.4964,-40.34474,5.01,63.81,93.21,54.61,0.4
